[18:42:19.227] Normal: Scanner On.
[18:42:40.853] Normal: -64 dBm
[18:42:40.853] Normal: 398.05 ms
[18:42:41.458] Normal: -59 dBm
[18:42:41.459] Normal: 605.07 ms
[18:42:42.455] Normal: -64 dBm
[18:42:42.455] Normal: 996.02 ms
[18:42:43.254] Normal: -64 dBm
[18:42:43.255] Normal: 800.49 ms
[18:42:43.656] Normal: -62 dBm
[18:42:43.656] Normal: 401.14 ms
[18:42:45.058] Normal: -57 dBm
[18:42:45.058] Normal: 1401.89 ms
[18:42:45.456] Normal: -65 dBm
[18:42:45.456] Normal: 397.16 ms
[18:42:46.055] Normal: -77 dBm
[18:42:46.055] Normal: 600.33 ms
[18:42:46.255] Normal: -75 dBm
[18:42:46.255] Normal: 199.58 ms
[18:42:47.258] Normal: -65 dBm
[18:42:47.258] Normal: 1002.09 ms
[18:42:47.259] Normal: -64 dBm
[18:42:47.259] Normal: 1002.47 ms
[18:42:47.458] Normal: -63 dBm
[18:42:47.458] Normal: 198.93 ms
[18:42:47.458] Normal: -63 dBm
[18:42:47.458] Normal: 199.73 ms
[18:42:48.060] Normal: -59 dBm
[18:42:48.060] Normal: 602.20 ms
[18:42:48.858] Normal: -60 dBm
[18:42:48.858] Normal: 798.66 ms
[18:42:49.252] Normal: -71 dBm
[18:42:49.253] Normal: 394.77 ms
[18:42:49.859] Normal: -61 dBm
[18:42:49.859] Normal: 606.21 ms
[18:42:50.456] Normal: -71 dBm
[18:42:50.456] Normal: 596.84 ms
[18:42:50.855] Normal: -74 dBm
[18:42:50.855] Normal: 399.61 ms
[18:42:51.054] Normal: -74 dBm
[18:42:51.054] Normal: 198.19 ms
[18:42:51.455] Normal: -66 dBm
[18:42:51.455] Normal: 400.92 ms
[18:42:51.657] Normal: -64 dBm
[18:42:51.657] Normal: 202.67 ms
[18:42:52.255] Normal: -63 dBm
[18:42:52.255] Normal: 597.65 ms
[18:42:52.934] Normal: -59 dBm
[18:42:52.934] Normal: 603.82 ms
[18:42:52.934] Normal: -59 dBm
[18:42:52.934] Normal: 603.96 ms
[18:42:53.879] Normal: -70 dBm
[18:42:53.879] Normal: 996.77 ms
[18:42:54.055] Normal: -69 dBm
[18:42:54.055] Normal: 199.44 ms
[18:42:54.457] Normal: -60 dBm
[18:42:54.457] Normal: 401.74 ms
[18:42:54.457] Normal: -60 dBm
[18:42:54.457] Normal: 401.87 ms
[18:42:54.656] Normal: -64 dBm
[18:42:54.656] Normal: 198.94 ms
[18:42:55.256] Normal: -61 dBm
[18:42:55.256] Normal: 600.12 ms
[18:42:56.660] Normal: -60 dBm
[18:42:56.660] Normal: 1403.36 ms
[18:42:56.660] Normal: -60 dBm
[18:42:56.660] Normal: 1403.60 ms
[18:42:57.456] Normal: -62 dBm
[18:42:57.456] Normal: 796.44 ms
